var,lang,trialid,n,mean,sd,se,median,min,max,q1,q3
acc,du,1,47,1.23,0.56,0.08,1,0,2,1,2
acc,du,2,47,1.19,0.71,0.1,1,0,2,1,2
acc,du,3,47,1.45,0.5,0.07,1,1,2,1,2
acc,du,4,47,1.6,0.61,0.09,2,0,2,1,2
acc,du,5,47,1.87,0.4,0.06,2,0,2,2,2
acc,du,6,47,1.74,0.49,0.07,2,0,2,2,2
acc,du,7,47,1.4,0.61,0.09,1,0,2,1,2
acc,du,8,47,1.83,0.38,0.06,2,1,2,2,2
acc,du,9,47,1.89,0.37,0.05,2,0,2,2,2
acc,du,10,47,1.55,0.58,0.08,2,0,2,1,2
acc,du,11,47,1.06,0.53,0.08,1,0,2,1,1
acc,du,12,47,1.04,0.66,0.1,1,0,2,1,1
acc,ee,1,58,1.28,0.64,0.08,1,0,2,1,2
acc,ee,2,58,1.47,0.57,0.07,1.5,0,2,1,2
acc,ee,3,58,1.6,0.59,0.08,2,0,2,1,2
acc,ee,4,58,1.59,0.62,0.08,2,0,2,1,2
acc,ee,5,58,1.81,0.4,0.05,2,1,2,2,2
acc,ee,6,58,1.79,0.41,0.05,2,1,2,2,2
acc,ee,7,58,1.62,0.56,0.07,2,0,2,1,2
acc,ee,8,58,1.79,0.41,0.05,2,1,2,2,2
acc,ee,9,58,1.88,0.33,0.04,2,1,2,2,2
acc,ee,10,58,1.66,0.51,0.07,2,0,2,1,2
acc,ee,11,58,1.09,0.39,0.05,1,0,2,1,1
acc,ee,12,58,1.19,0.58,0.08,1,0,2,1,2
acc,en,1,45,1.11,0.65,0.1,1,0,2,1,2
acc,en,2,45,1.18,0.72,0.11,1,0,2,1,2
acc,en,3,45,1.76,0.48,0.07,2,0,2,2,2
acc,en,4,45,1.6,0.69,0.1,2,0,2,1,2
acc,en,5,45,1.64,0.48,0.07,2,1,2,1,2
acc,en,6,45,1.87,0.34,0.05,2,1,2,2,2
acc,en,7,45,1.33,0.64,0.1,1,0,2,1,2
acc,en,8,45,1.84,0.37,0.05,2,1,2,2,2
acc,en,9,45,1.8,0.46,0.07,2,0,2,2,2
acc,en,10,45,1.42,0.54,0.08,1,0,2,1,2
acc,en,11,45,1.09,0.56,0.08,1,0,2,1,1
acc,en,12,45,1.04,0.67,0.1,1,0,2,1,1
acc,fi,1,51,1.33,0.65,0.09,1,0,2,1,2
acc,fi,2,51,1.35,0.63,0.09,1,0,2,1,2
acc,fi,3,51,1.53,0.54,0.08,2,0,2,1,2
acc,fi,4,51,1.71,0.64,0.09,2,0,2,2,2
acc,fi,5,51,1.73,0.45,0.06,2,1,2,1,2
acc,fi,6,51,1.61,0.49,0.07,2,1,2,1,2
acc,fi,7,51,1.57,0.57,0.08,2,0,2,1,2
acc,fi,8,51,1.69,0.47,0.07,2,1,2,1,2
acc,fi,9,51,1.86,0.4,0.06,2,0,2,2,2
acc,fi,10,51,1.41,0.57,0.08,1,0,2,1,2
acc,fi,11,51,1.1,0.3,0.04,1,1,2,1,1
acc,fi,12,51,1.14,0.45,0.06,1,0,2,1,1
acc,ge,1,45,1.33,0.6,0.09,1,0,2,1,2
acc,ge,2,45,1.44,0.59,0.09,1,0,2,1,2
acc,ge,3,45,1.38,0.58,0.09,1,0,2,1,2
acc,ge,4,45,1.58,0.62,0.09,2,0,2,1,2
acc,ge,5,45,1.76,0.43,0.06,2,1,2,2,2
acc,ge,6,45,1.67,0.52,0.08,2,0,2,1,2
