var,lang,n,mean,sd,se,median,min,max
cft,du,47,8.23,2.16,0.31,9,1,12
cft,ee,62,9.24,1.36,0.17,9,6,12
cft,en,45,7.82,2.5,0.37,8,2,12
cft,fi,50,9.04,1.73,0.24,9,5,12
cft,ge,44,9.3,2.02,0.3,9.5,3,12
cft,gr,48,7.27,2.02,0.29,7,4,12
cft,he,45,9.22,2.1,0.31,9,4,12
cft,it,51,8.37,1.67,0.23,9,4,11
cft,no,20,8.35,1.69,0.38,8,4,11
cft,ru,47,9.06,1.62,0.24,9,6,12
cft,sp,41,9.17,1.43,0.22,9,5,12
cft,tr,25,8.88,1.64,0.33,9,5,12
lextale,du,47,79.41,9.33,1.36,77.5,63.75,97.5
lextale,ee,62,82.68,10.98,1.39,85,55,100
lextale,en,45,91.13,6.94,1.04,92.5,75,100
lextale,fi,51,79.51,12.01,1.68,83.75,47.5,100
lextale,ge,45,72.86,11.22,1.67,71.25,53.75,98.75
lextale,gr,47,67.47,11.13,1.62,66.25,48.75,91.25
lextale,he,45,67.64,11.37,1.69,65,50,93.75
lextale,it,51,73.68,6.78,0.95,73.75,61.25,91.25
lextale,no,39,75.58,11.71,1.87,76.25,51.25,98.75
lextale,ru,43,76.05,9.65,1.47,75,58.75,97.5
lextale,sp,41,77.59,8.93,1.39,76.25,61.25,96.25
lextale,tr,25,65.65,9.12,1.82,63.75,46.25,83.75
motivation,du,47,3.77,0.23,0.03,3.8,3.2,4.2
motivation,ee,62,3.7,0.33,0.04,3.6,2.6,4.3
motivation,en,45,3.68,0.37,0.06,3.7,2.5,4.4
motivation,fi,48,3.59,0.27,0.04,3.6,2.9,4.2
motivation,ge,45,3.62,0.36,0.05,3.7,2.9,4.3
motivation,gr,48,3.6,0.35,0.05,3.6,2.9,4.3
motivation,he,45,3.57,0.44,0.07,3.6,2.2,4.2
motivation,it,51,3.64,0.26,0.04,3.6,3,4.2
motivation,no,40,3.66,0.34,0.05,3.8,2.6,4.1
motivation,ru,47,3.58,0.39,0.06,3.6,2.7,4.4
motivation,sp,41,3.75,0.35,0.05,3.8,2.8,4.4
motivation,tr,25,3.52,0.31,0.06,3.5,3,4.1
spelling,du,47,35.26,3.63,0.53,35,28,42
spelling,ee,62,36.44,4.15,0.53,37,29,43
spelling,en,44,40.61,8.39,1.26,39,30,76
spelling,fi,48,36.1,3.85,0.56,36.5,28,43
