var,lang,trialid,n,mean,sd,se,median,min,max,q1,q3
rate,du,1,33,267,83,14,266,125,455,217,325
rate,du,2,28,266,96,18,251,100,539,194.5,304.75
rate,du,3,33,256,79,14,256,99,422,197,306
rate,du,4,31,212,62,11,216,102,335,160.5,256.5
rate,du,5,25,279,94,19,271,113,538,234,303
rate,du,6,29,279,79,15,280,135,516,232,316
rate,du,7,30,262,90,16,244,151,537,209.25,277
rate,du,8,32,247,89,16,224,104,459,182.75,288.75
rate,du,9,33,225,75,13,213,97,379,175,280
rate,du,10,30,253,79,14,238,127,445,202.25,302.75
rate,du,11,31,221,58,10,221,129,349,174.5,259.5
rate,du,12,25,221,64,13,222,78,362,184,245
rate,ee,1,50,247,88,12,236,114,634,197.5,277.5
rate,ee,2,48,245,80,12,236,88,495,196.25,289.25
rate,ee,3,48,244,77,11,248,83,426,185.75,295
rate,ee,4,55,191,61,8,188,58,430,159,229
rate,ee,5,46,269,87,13,260,133,579,203.75,324.5
rate,ee,6,45,257,69,10,255,111,401,208,291
rate,ee,7,48,257,73,10,258,138,474,207.75,295.5
rate,ee,8,41,249,89,14,245,85,494,182,298
rate,ee,9,41,229,53,8,221,112,342,183,268
rate,ee,10,48,231,62,9,228,127,383,188,263.25
rate,ee,11,44,208,67,10,193,98,410,165.75,249
rate,ee,12,43,189,64,10,183,73,441,147,226.5
rate,en,1,34,318,95,16,320,90,558,253.75,388
rate,en,2,38,334,113,18,316,125,573,245.75,415.5
rate,en,3,42,309,103,16,324,115,489,241,375.75
rate,en,4,34,272,82,14,273,108,460,235,324.75
rate,en,5,29,351,104,19,372,115,584,268,419
rate,en,6,36,341,113,19,336,119,525,280,426.5
rate,en,7,30,331,115,21,332,118,630,276.25,393.25
rate,en,8,32,289,94,17,278,98,456,235.75,353.5
rate,en,9,37,312,119,20,303,111,610,252,389
rate,en,10,29,313,97,18,312,125,530,255,375
rate,en,11,28,276,77,15,283,107,497,233.75,313
rate,en,12,30,282,109,20,280,90,515,218.75,342
rate,fi,1,49,267,99,14,246,116,659,196,334
rate,fi,2,48,259,88,13,232,132,500,195.75,322.25
rate,fi,3,48,249,79,11,245,94,521,206.25,292.25
rate,fi,4,48,221,65,9,227,91,397,175,259.25
rate,fi,5,48,288,84,12,292,147,518,215,340.25
rate,fi,6,41,282,107,17,278,94,611,219,334
rate,fi,7,43,263,74,11,256,130,518,203.5,302.5
rate,fi,8,41,243,81,13,244,104,521,193,275
rate,fi,9,42,243,76,12,235,103,397,189,287.5
rate,fi,10,41,250,71,11,251,127,414,195,294
rate,fi,11,43,240,68,10,234,113,382,192.5,286.5
rate,fi,12,42,220,75,12,208,87,389,166.5,265
rate,ge,1,38,223,49,8,214,129,334,187.5,248.5
rate,ge,2,37,212,52,9,208,117,356,172,251
rate,ge,3,40,205,48,8,194,96,307,174,232.75
rate,ge,4,34,186,48,8,176,130,337,147.25,210
rate,ge,5,37,225,43,7,223,127,308,205,263
rate,ge,6,39,221,58,9,200,143,410,178.5,249.5
rate,ge,7,34,223,55,9,214,140,377,176.5,255
